gene_symbol	TCGA-OR-A5J1-01A-11R-A29S-07	TCGA-OR-A5J2-01A-11R-A29S-07	TCGA-OR-A5J3-01A-11R-A29S-07	TCGA-OR-A5J5-01A-11R-A29S-07	TCGA-OR-A5J6-01A-31R-A29S-07	TCGA-OR-A5J7-01A-11R-A29S-07	TCGA-OR-A5J8-01A-11R-A29S-07	TCGA-OR-A5J9-01A-11R-A29S-07	TCGA-OR-A5JA-01A-11R-A29S-07	TCGA-OR-A5JB-01A-11R-A29S-07	TCGA-OR-A5JC-01A-11R-A29S-07	TCGA-OR-A5JD-01A-11R-A29S-07	TCGA-OR-A5JE-01A-11R-A29S-07	TCGA-OR-A5JF-01A-11R-A29S-07	TCGA-OR-A5JG-01A-11R-A29S-07	TCGA-OR-A5JI-01A-11R-A29S-07	TCGA-OR-A5JJ-01A-11R-A29S-07	TCGA-OR-A5JK-01A-11R-A29S-07	TCGA-OR-A5JL-01A-11R-A29S-07	TCGA-OR-A5JM-01A-11R-A29S-07	TCGA-OR-A5JO-01A-11R-A29S-07	TCGA-OR-A5JP-01A-11R-A29S-07	TCGA-OR-A5JQ-01A-11R-A29S-07	TCGA-OR-A5JR-01A-11R-A29S-07	TCGA-OR-A5JS-01A-11R-A29S-07	TCGA-OR-A5JT-01A-11R-A29S-07	TCGA-OR-A5JV-01A-11R-A29S-07	TCGA-OR-A5JW-01A-11R-A29S-07	TCGA-OR-A5JX-01A-11R-A29S-07	TCGA-OR-A5JY-01A-31R-A29S-07	TCGA-OR-A5JZ-01A-11R-A29S-07	TCGA-OR-A5K0-01A-11R-A29S-07	TCGA-OR-A5K1-01A-11R-A29S-07	TCGA-OR-A5K2-01A-11R-A29S-07	TCGA-OR-A5K3-01A-11R-A29S-07	TCGA-OR-A5K4-01A-11R-A29S-07	TCGA-OR-A5K5-01A-11R-A29S-07	TCGA-OR-A5K6-01A-11R-A29S-07	TCGA-OR-A5K8-01A-11R-A29S-07	TCGA-OR-A5K9-01A-11R-A29S-07	TCGA-OR-A5KO-01A-11R-A29S-07	TCGA-OR-A5KT-01A-11R-A29S-07	TCGA-OR-A5KU-01A-11R-A29S-07	TCGA-OR-A5KV-01A-11R-A29S-07	TCGA-OR-A5KW-01A-11R-A29S-07	TCGA-OR-A5KX-01A-11R-A29S-07	TCGA-OR-A5KY-01A-11R-A29S-07	TCGA-OR-A5KZ-01A-11R-A29S-07	TCGA-OR-A5L3-01A-11R-A29S-07	TCGA-OR-A5L4-01A-11R-A29S-07	TCGA-OR-A5L5-01A-11R-A29S-07	TCGA-OR-A5L6-01A-11R-A29S-07	TCGA-OR-A5L8-01A-11R-A29S-07	TCGA-OR-A5L9-01A-11R-A29S-07	TCGA-OR-A5LA-01A-11R-A29S-07	TCGA-OR-A5LB-01A-11R-A29S-07	TCGA-OR-A5LC-01A-11R-A29S-07	TCGA-OR-A5LD-01A-11R-A29S-07	TCGA-OR-A5LE-01A-11R-A29S-07	TCGA-OR-A5LG-01A-11R-A29S-07	TCGA-OR-A5LH-01A-11R-A29S-07	TCGA-OR-A5LJ-01A-11R-A29S-07	TCGA-OR-A5LK-01A-11R-A29S-07	TCGA-OR-A5LL-01A-11R-A29S-07	TCGA-OR-A5LM-01A-11R-A29S-07	TCGA-OR-A5LN-01A-11R-A29S-07	TCGA-OR-A5LO-01A-11R-A29S-07	TCGA-OR-A5LP-01A-11R-A29S-07	TCGA-OR-A5LR-01A-11R-A29S-07	TCGA-OR-A5LS-01A-11R-A29S-07	TCGA-OR-A5LT-01A-11R-A29S-07	TCGA-OU-A5PI-01A-12R-A29S-07	TCGA-P6-A5OF-01A-11R-A29S-07	TCGA-P6-A5OG-01A-22R-A29S-07	TCGA-PA-A5YG-01A-11R-A29S-07	TCGA-PK-A5H8-01A-11R-A29S-07	TCGA-PK-A5H9-01A-11R-A29S-07	TCGA-PK-A5HA-01A-11R-A29S-07	TCGA-PK-A5HB-01A-11R-A29S-07
PREX1	434.6782	619.6482	599.0224	1099.9225	2962.4993	1195.347	2309.5731	1052.5788	1590.9091	589.5065	2400.7634	1418.0825	1402.1493	1343.7591	2222.2222	2723.4043	277.1084	2192.9825	1166.0794	796.5517	2047.3587	691.2604	2181.3477	4392.0188	777.6545	3648.4662	3640.7061	1641.9482	2525.7013	1453.202	3569.4374	1531.7125	5566.4703	1424.3144	2727.0375	3391.3024	1225.9991	1417.9707	2233.672	2751.0994	995.314	3495.183	892.5434	564.2113	1590.3875	4436.9025	1003.2097	741.8182	698.6607	4606.4905	1716.0022	2084.1121	213.0886	1994.6237	1551.0204	1572.6775	1540.0271	2172.3202	309.9784	962.8029	1576.3839	1583.1865	2489.8305	1015.7021	1705.538	1721.3873	808.2653	4383.7862	3477.8243	610.537	2130.102	924.1733	987.0943	2282.1847	1951.9186	2059.9625	2337.9569	2122.9327	6814.7554
RET	1.9212	23.7552	187.824	404.3377	5.5886	445.2467	8.2884	16.3191	44.926	8.9117	8.9059	103.7621	97.2851	99.6235	16.6599	100.8326	16.5105	2.2883	309.6077	11.6379	68.0293	93.9833	29.8597	39.4366	5.1794	13.2654	0	0.8776	9.0806	1.7913	6.0453	8.4567	31.4677	301.4468	5.1746	6.1629	4.5935	35.8405	50.7983	1.3193	73.5708	11.5607	1.495	332.4335	5.9403	61.1855	373.2153	3838.1818	22.3214	7.8028	51.3381	3.7383	33.9186	91.3978	20.4082	13.0551	0	47.4898	27.0616	2.2751	27.3228	82.5573	3.3898	0.5982	7.204	13.8728	22.1048	47.6019	34.3096	315.094	7.6531	431.5849	179.1162	48.1144	13.8696	11.8676	353.1362	14.333	13.6327
TFF1	0	0.4026	1.7775	0	0	0.8022	0	0	0	5.347	2.5445	0.6068	33.9367	0	0	6.4755	0	0	1.4094	3.0172	0	629.3368	1.5925	0	0	0	1.0384	0	0	2.2391	0	2.1142	0	4.3187	0	0.5603	1.378	1.0096	0	10.1143	0.4686	0	0.7475	0	0	254.3021	0	0.6061	0	2.128	0	0	0	0	0.8873	0	0.6784	0	0	0	2.3155	0	6.7797	0	0	1.1561	0	1.3223	0	0	0	0	0.3911	0	0	0	0	3.8589	272.2534
CDKN2A	266.5706	684.8743	106.6509	1301.3168	106.7416	465.3028	1790.7169	771.7551	557.0825	5030.1883	730.916	123.1796	1432.1267	304.2765	431.009	974.0981	995.0915	454.6148	64.8344	686.2069	534.5161	738.2521	416.0446	516.9014	322.9745	360.5354	374.8702	14.0412	679.0984	660.9942	536.6919	247.8858	311.3646	1286.1153	367.3997	878.5003	514.0101	206.4614	410.7402	579.1557	1814.9016	750.4817	147.2622	425.7617	172.8095	1138.1453	1612.3962	3.0303	147.3214	141.1598	172.5833	1153.271	85.3951	677.4194	135.7587	123.0913	14.2469	1398.9145	552.3027	14.5603	333.4302	268.8145	711.8644	140.5713	307.9694	117.9191	386.3527	121.2086	276.9874	186.3459	519.5578	129.4185	272.5851	2227.1348	213.1299	349.7814	110.9657	1253.032	530.4731
DIABLO	1719.2939	1141.4893	1341.1998	1838.11	1273.2711	967.4689	2519.2375	2337.2281	1702.6533	1699.0086	2133.3206	1583.1978	2675.7523	1519.8571	2497.364	1975.9482	2092.3873	1558.8177	2066.5116	1533.2716	1105.9246	2334.9144	2033.0367	1546.9249	1037.6656	1311.6617	945.3167	1115.7043	1711.0426	985.9472	1575.5768	2166.5856	1889.6436	3113.7983	2141.0091	1435.967	2954.497	1235.1186	1513.0334	938.2278	611.2605	1126.8593	2195.911	1707.9175	1716.7112	2380.3728	2036.6486	1975.103	1218.75	1700.3015	1950.3004	1534.5794	1029.9481	1440.8602	2352.2626	1670.5444	1622.1167	1298.5075	1190.7105	1216.1438	2130.8135	859.552	1450.8475	597.6552	2617.1154	1235.8382	1303.8299	1123.5248	1562.477	1586.224	1579.0816	1436.9384	1229.2452	1197.1348	1254.5677	1524.9469	907.2634	1224.57	1238.6608
MACC1	345.8213	2.4158	47.9929	8.5205	8.3829	1.6045	16.9913	4.0798	60.2537	12.0307	4.4529	11.5291	43.552	22.396	13.9729	6.4755	17.8492	51.106	2.3491	6.0345	3.7794	38.2082	21.1008	225.8216	16.2782	15.1605	351.5057	5.2655	3.8917	25.5262	25.5248	1.0571	59.623	26.7761	141.0091	42.5804	5.9715	499.2428	14.5138	3.9578	8.9035	1.9268	2.2426	10.4126	7.0204	1.434	30.1051	3.6364	78.125	43.2701	40.9612	28.0374	1.9952	139.7849	39.0417	1.865	0	51.5604	9.8406	118.3028	41.2157	39.7684	30.5085	2.9909	42.0231	21.9653	0.4805	23.801	5.0209	16.2629	8.5034	10.2623	30.1134	286.0858	414.7018	1006.8707	0.6979	6.0639	6.0144
CHGA	27.3775	25.3657	24.2927	7.7459	1.1177	0	0	0.34	13.7421	0	4.4529	16.9903	9.0498	3.4752	3.2245	0.9251	20.5266	2.2883	8.9265	2.1552	2.1597	3.0742	0	0	1.8498	0.4738	3.6345	16.2352	391.114	121.3614	0	95.666	4.9686	1.7275	27.1669	0	5.9715	21.2014	0	0	2.343	159.9229	15.698	28.5384	21.6012	1.434	26.5634	2.4242	2.2321	0	373.0202	3.7383	0.399	10.7527	0	1.3988	0	8.1411	4.3053	1.82	1098.4673	10.068	0	0	0	3.4682	2834.2143	1.763	16.7364	1.3552	0.8503	0	29.3312	1.7339	0	76.2024	4.8853	2.7563	16.8404
IDH3A	1231.0279	1077.8415	1686.2687	584.0434	1950.4099	1148.8167	885.2051	1042.7194	5387.4207	1404.9237	5874.6819	3076.4563	1395.9276	1426.7786	967.8893	2020.3515	1393.5743	6064.0732	9498.708	1343.1034	1495.5653	1623.1884	2061.1128	1833.8028	3931.9275	1636.8589	1572.1703	3129.8815	3880.0065	3692.79	1969.4374	2447.1459	1706.7086	1768.9484	4993.5317	1656.7126	952.2278	1920.7471	1792.4528	805.6288	1823.3365	2079.9615	5092.8798	1013.1122	3702.9837	873.805	998.3398	1443.0303	2107.1429	4301.4719	2811.0322	1904.6729	977.2546	2064.5161	1930.7897	3421.844	1885.346	610.5834	2508.7335	2203.1623	4632.3643	1317.3924	1586.4407	2113.3543	6305.2679	5001.1561	3292.6478	2362.4668	2510.4603	2305.9461	1726.1905	1517.1038	1046.5389	917.2085	2438.2802	1747.0331	2421.7046	1152.7012	3469.5269
SQSTM1	15021.2152	17867.1139	14614.8896	14418.8846	22466.1284	16028.9611	30102.5984	17404.3053	9499.556	12318.3513	18860.2672	69799.7633	11517.2681	24171.7888	23005.5085	41108.8529	9621.2628	17231.2738	36708.6446	11174.5819	22310.4918	11219.451	49853.2497	42888.5728	36350.4329	44897.1029	36201.594	10329.1049	16989.9141	18072.9154	32207.3216	12466.7442	24647.6135	10044.3705	21642.3415	19937.6086	15089.9495	21620.737	23274.5864	12858.6895	10525.0047	30892.7264	9752.2631	18228.6541	25486.4912	16713.9101	12682.1826	6908.7576	43164.9777	15574.8963	66978.7548	46036.972	13376.8555	26194.1398	48431.331	15883.7953	11131.3908	6097.7612	9106.5858	36539.9522	57616.1454	22812.2074	61332.5763	54801.4536	18510.0585	78811.7225	12849.2407	65914.9953	32935.0628	15528.3754	19146.4966	37123.8198	9428.4318	11137.0698	47312.9958	9526.2648	8051.6723	76101.968	6071.6921
KCNJ13	1.9212	0.4026	1.185	0	0	3.209	0	1.0199	2.1142	0	0	0.6068	1.1312	0.3861	0.5374	0	1.3387	0	0	0.431	0	0.8783	0	0	0.37	0.9475	0.5192	0	0	0	0.6717	0	0	1.7275	1.2937	1.1205	3.6748	0.5048	0	0.4398	0.4686	0	0	0	0.54	0.956	0.8854	0.6061	0	0.7093	0.5461	0	0.399	0	0	1.3988	0.6784	1.3569	1.2301	0	2.3155	0.5034	0	0.5982	1.801	1.1561	0	0	0	0	1.7007	0	0.3911	3.9012	2.3116	2.4984	1.0468	0	9.6231
